date,arrival,macao casino,tiger airways,cathay pacific,macau travel blog,map of macau,cheap flights,royal hotel,cebu pacific,jetstar,thailand,flights to macau,wing on travel,china map,agoda,macao,asia travel,china,weather in macau,macau best food,ferry terminal,hong kong light show,bangkok,macau airport,china travel,what to do in macau,shopping in macau,macau weather,macau hotel,weather forecast,hong kong,iifa awards 2013 full show,weather forecast in macau,venetian,galaxy,best food in macau,venetian hotel,travel to macau,mgm,city of dreams,the house of dancing water,weather hk,hong kong disneyland,macau ferry,air asia,weather singapore,sands casino,lisboa casino,singapore to macau,shopping in macau,singapore airlines,macau tourism,macau weather,world map,google flights,hotel lisboa,google map,macau weather,galaxy casino,macau tourism,wynn casino,macao restaurant,house of dancing water,travel agency,macau map,ozone bar hong kong,galaxy hotel,hotel in macau,weather forecast in macau,venetian casino,airasia,macau map,macau ferry terminal,bali,hong kong casino,skyscanner,AGODA,Skyscanner,shows in macau,singapore to macau,macau airlines,macau on map,macau venetian,galaxy macau hotel,macau grand hotel,macau tauranga,casino in macau,macau ferry terminal,macau restaurant jamaica,macau food festival,hong kong to macau travel time,venetian hotel macau,macau nightlife,macau hotel venetian,hotel in macau,flights to macau,weather in macau,macau restaurant menu,macaulay culkin,dancing water show macau schedule,best food in macau,hotel macau,city of dreams macau,hong kong airport to macau,dancing water macau,macau portuguese restaurant,macau china weather,macau gaming lounge & bar,galaxy macau,hong kong ferry to macau,macau chinese restaurant,hk to macau ferry,casinos macau,macau tourism,macau shows,hong kong macau,macau food festival 2015,macau restaurants,best restaurant in macau,macau water show,galaxy casino macau,macau restaurant hong kong,hongkong macau,weather in macau in december,accommodation in macau,venetian macau shopping,agoda macau,heart bar macau,weather forecast in macau,macau cheap flights,macau food blog,macau tourism board,flights to macau from singapore,macau packages,macau travel blog,macau gaming show,hong kong macau map,macau time,macau weather today,best hotel macau,halal food in macau,macau show bar,hotel lisboa macau,from hong kong to macau,venetian casino macau,venetian macau casino,shopping in macau,macau food festival 2014,venetian macau,macau shopping mall,macau shopping guide,ferry macau to hong kong airport,hk to macau,macau food guide,casino lisboa macau,hong kong to macau ferry,macau hotels,macau food festival 2017,air macau,macau things to do,macau china,what to do in macau,wing on travel macau,macau food festival 2012,hong kong to macau,macau city,macau light show,map of macau,macau weather december,macau airport,hongkong macau ferry,macau restaurant tauranga,ferry to macau,macau hk ferry,wynn macau,macau food festival 2016,macau casino,macau island,restaurants in macau,macau ferry,ferry macau hong kong,macau ferry terminal hong kong,macau ferry from hong kong,macau ferry terminal map,iifa awards 2013 macau full show,macau galaxy,macau map,macau world map,macau package,grand macau casino,macau tower,macau hong kong,food festival macau,macaulay culkin
2011-01,2076066,76,80,56,44,76,100,95,82,68,51,80,43,80,34,58,100,91,57,0,34,30,64,72,87,56,51,64,72,95,85,0,24,93,21,0,100,75,73,21,69,54,67,74,32,56,54,45,84,51,99,92,64,67,5,75,78,64,34,92,81,84,89,100,71,0,37,80,24,100,26,71,47,48,74,17,13838,2728,88,59,100,14,56,21,67,0,66,47,0,16,52,62,61,62,80,80,57,0,26,0,0,72,62,37,70,58,79,0,19,54,34,54,69,92,74,75,0,49,21,86,22,73,62,0,84,73,42,0,24,49,43,53,72,45,31,0,55,19,14,97,0,72,52,66,65,65,51,0,56,23,0,39,46,60,55,54,81,0,89,35,62,25,38,0,59,32,27,76,8,72,50,0,55,70,88,0,59,48,29,74,69,34,44,56,0,19,71,43,61,64,65,75,16,2944
2011-02,2164249,46,78,53,45,76,93,92,92,71,48,52,47,77,34,55,88,86,73,39,34,44,60,76,82,58,54,61,67,85,83,0,56,93,23,0,88,76,66,19,68,50,74,74,32,39,52,40,80,54,91,70,61,70,5,84,79,61,33,70,84,88,98,92,72,0,40,80,56,87,29,72,66,43,73,16,14322,2665,65,70,82,52,55,25,62,0,59,66,0,11,0,73,67,73,80,52,73,0,9,73,39,67,56,55,76,41,92,0,15,63,47,67,72,70,37,77,0,49,22,46,11,69,59,27,29,38,32,0,56,45,0,71,25,65,65,0,76,22,29,78,0,0,60,78,32,32,54,0,55,24,0,53,42,42,25,63,79,0,74,37,60,81,0,0,61,34,57,76,8,76,64,0,64,64,75,0,63,82,31,74,75,56,71,51,0,15,72,68,55,76,64,77,11,2617
2011-03,2190865,61,84,56,47,86,90,90,81,75,55,65,49,100,36,62,93,95,74,24,39,51,60,77,97,57,53,63,75,76,94,0,73,89,24,72,78,69,67,21,87,59,77,76,29,41,52,55,85,53,89,84,63,100,4,87,83,63,48,84,80,91,100,90,100,5,41,74,73,80,25,100,45,42,66,16,17482,3527,84,59,82,41,77,20,76,0,82,45,0,0,25,68,85,68,74,65,74,40,7,0,24,75,89,58,85,37,98,0,18,60,21,45,56,84,71,77,0,51,20,100,34,69,58,0,27,69,40,0,73,59,41,100,34,75,29,0,96,21,9,68,72,0,70,61,84,84,53,0,77,43,0,64,62,38,52,60,68,0,84,48,67,40,42,36,58,38,26,86,8,77,78,0,65,53,78,0,74,59,37,76,62,48,54,33,0,18,100,67,59,53,54,77,0,2592
2011-04,2338449,44,83,53,48,83,84,92,81,73,48,77,45,77,38,65,92,90,72,25,48,30,57,75,100,61,66,53,79,81,87,0,24,90,28,52,79,86,64,23,100,46,75,87,28,42,47,55,88,66,88,86,53,61,4,94,80,53,35,86,86,97,100,87,92,17,44,73,24,97,24,92,70,42,70,15,16746,3210,71,63,100,79,92,32,59,0,55,70,0,0,53,90,85,90,73,77,72,22,7,0,25,79,90,62,100,49,72,0,21,64,80,61,49,86,58,83,0,49,64,70,14,74,77,0,57,61,51,0,24,100,0,84,60,66,47,0,81,24,18,73,52,0,75,64,97,97,66,0,92,0,55,62,60,40,43,64,78,0,79,38,67,50,26,0,69,43,0,83,8,75,63,0,82,59,80,0,62,73,35,87,66,60,60,35,0,21,92,60,61,49,67,83,0,2596
2011-05,2295551,62,79,56,47,79,85,92,71,68,48,78,56,75,38,58,93,88,60,24,51,32,59,82,90,62,87,50,93,80,86,0,22,92,32,0,73,85,63,24,61,42,73,87,32,44,56,32,89,87,92,77,50,63,5,87,79,50,84,77,85,64,94,86,83,28,57,100,22,80,30,83,71,43,100,16,18588,3510,50,63,88,60,100,98,79,0,71,71,0,0,49,82,76,82,100,78,60,0,7,65,24,93,79,72,93,55,60,0,100,73,53,63,100,77,78,91,0,41,30,94,100,81,74,18,79,91,49,0,22,58,41,71,56,45,44,0,83,30,13,79,0,0,99,86,72,72,87,0,100,42,0,76,64,0,46,73,97,0,87,73,60,46,48,0,73,45,38,79,8,82,77,0,77,50,80,0,90,85,41,87,80,100,71,46,0,100,83,71,70,61,63,91,0,2626
2011-06,2181476,47,84,54,47,100,92,95,71,100,49,60,68,66,41,58,86,85,63,24,56,42,64,100,87,69,89,57,93,100,86,0,11,95,36,49,79,89,62,23,57,62,74,91,29,44,69,24,89,89,93,81,57,56,6,89,86,57,58,81,74,77,76,93,82,35,68,81,11,90,25,82,77,42,77,17,20460,3576,34,74,82,48,92,97,68,0,68,77,0,0,25,100,100,100,81,60,63,61,8,0,24,93,100,66,88,47,69,0,68,80,21,52,63,81,46,90,0,79,20,90,26,76,84,12,27,58,45,0,11,95,83,51,69,51,30,0,66,24,13,87,49,0,80,78,88,88,89,0,92,33,0,91,61,38,17,80,95,0,83,28,58,47,24,0,67,47,52,100,8,100,98,0,74,51,66,0,72,82,42,91,79,69,77,60,0,68,82,88,80,39,77,90,0,2634
2011-07,2550867,60,82,55,51,91,91,100,69,86,52,78,59,66,45,65,89,85,48,48,61,43,65,73,86,83,93,44,96,96,86,0,28,100,40,49,81,100,66,22,54,49,71,77,29,35,70,34,91,93,95,86,44,56,6,97,94,44,64,86,84,50,83,90,95,26,72,83,28,94,27,95,67,45,85,18,25497,3884,42,64,81,48,82,92,96,0,74,67,0,0,100,94,61,94,83,78,48,41,9,0,48,96,77,64,71,75,91,0,56,60,43,49,82,86,63,85,0,70,30,74,34,63,82,0,27,58,50,0,28,77,84,50,34,73,30,27,81,21,9,82,49,34,88,77,88,88,93,0,82,65,0,64,51,38,41,60,84,0,77,57,74,57,37,0,74,54,26,91,8,73,95,0,76,47,88,0,77,74,33,77,66,47,79,47,0,56,95,57,100,54,100,85,0,2819
2011-08,2698003,59,74,100,49,77,85,91,79,85,51,75,57,64,47,61,91,89,50,58,63,56,65,80,82,81,72,35,100,97,88,0,32,92,42,0,73,72,63,19,61,33,70,83,29,38,66,43,90,72,93,66,35,63,5,94,89,35,50,66,66,66,83,85,76,41,66,96,32,80,25,76,90,46,82,17,27226,3936,32,75,86,65,80,79,100,0,72,90,0,10,24,87,93,87,96,75,50,58,10,0,58,100,69,74,83,45,29,0,45,73,41,47,44,66,84,89,0,72,68,58,30,79,89,12,77,78,60,0,32,79,79,90,77,57,28,0,97,26,8,100,0,0,84,74,70,70,72,0,80,73,100,64,46,73,100,73,92,0,80,41,64,42,18,0,84,37,0,77,18,80,91,0,68,62,86,0,73,67,67,83,75,72,77,70,0,45,76,40,67,89,94,89,10,2991
2011-09,2166627,51,69,57,52,61,76,82,81,85,49,72,48,71,44,59,83,89,52,56,47,28,63,84,75,73,78,56,90,85,87,0,31,83,43,0,67,94,55,18,67,66,73,90,33,40,50,66,89,78,90,82,56,72,11,85,83,56,48,82,67,78,86,80,80,26,67,91,31,69,32,80,78,43,64,16,26059,3965,63,76,95,51,73,94,69,0,55,78,0,19,70,75,64,75,91,72,52,19,9,0,56,90,79,65,72,34,63,0,46,60,40,65,80,82,93,78,0,63,0,69,31,100,73,17,100,75,51,0,31,66,0,74,64,48,55,0,70,23,16,62,0,32,85,67,72,72,78,0,73,60,0,64,80,35,38,60,100,0,83,45,65,31,17,0,72,39,24,61,14,84,81,0,69,56,78,0,79,73,78,90,74,81,70,49,0,46,80,58,62,100,82,78,19,2534
2011-10,2376643,55,68,57,53,86,72,76,84,81,58,88,60,68,46,63,83,96,58,21,41,51,92,88,75,72,62,59,77,70,91,0,60,87,51,0,63,63,51,19,61,56,76,89,31,44,46,42,85,62,93,91,59,63,7,71,74,59,50,91,75,71,75,75,88,48,64,82,60,67,28,88,68,46,91,16,25826,4349,44,77,94,36,85,85,64,0,42,68,0,36,22,73,63,73,82,88,58,62,7,0,21,77,67,83,83,57,100,0,40,78,94,61,87,91,81,83,0,72,53,67,41,89,74,44,59,81,55,0,60,78,36,63,60,64,0,0,55,21,19,78,0,30,86,74,81,81,62,0,85,48,46,47,64,34,61,78,74,0,79,59,66,77,11,0,72,36,23,86,20,88,100,0,85,100,71,0,73,74,74,89,89,62,71,47,0,40,88,63,68,74,79,83,36,2149
